run,method,epoch,AP,AP50,AP75,AP_S,AP_M
C:\mamba\artifacts\runs\local_aitodv2_hybridmamba_base_control_mem10_20260502_0129,HybridMamba-B + RetinaNet,1,0.035,0.096,0.019,0.035,0.066
C:\mamba\artifacts\runs\local_aitodv2_hybridmamba_base_control_mem10_20260502_0129,HybridMamba-B + RetinaNet,2,0.048,0.12,0.027,0.048,0.094
C:\mamba\artifacts\runs\local_aitodv2_hybridmamba_base_control_mem10_20260502_0129,HybridMamba-B + RetinaNet,3,0.052,0.128,0.03,0.053,0.106
C:\mamba\artifacts\runs\local_aitodv2_hybridmamba_base_control_resume_mem10_20260502_0923,HybridMamba-B + RetinaNet,4,0.061,0.145,0.039,0.061,0.129
C:\mamba\artifacts\runs\local_aitodv2_hybridmamba_base_control_resume_mem10_20260502_0923,HybridMamba-B + RetinaNet,5,0.064,0.158,0.036,0.065,0.077
C:\mamba\artifacts\runs\local_aitodv2_hybridmamba_base_control_resume_mem10_20260502_0923,HybridMamba-B + RetinaNet,6,0.072,0.169,0.047,0.072,0.127
C:\mamba\artifacts\runs\local_aitodv2_hybridmamba_base_72e_resume_mem10_20260502_155411,HybridMamba-B + RetinaNet,7,0.06,0.143,0.039,0.06,0.098
C:\mamba\artifacts\runs\local_aitodv2_hybridmamba_base_72e_resume_mem8_recover1_20260502_2018,HybridMamba-B + RetinaNet,8,0.068,0.157,0.044,0.066,0.138
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_stable_mem92_20260501_002325,HybridMambaDet-B + RetinaNet,1,0.024,0.064,0.011,0.023,0.047
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_stable_mem92_20260501_002325,HybridMambaDet-B + RetinaNet,2,0.05,0.125,0.028,0.05,0.079
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_stable_mem92_20260501_002325,HybridMambaDet-B + RetinaNet,3,0.062,0.148,0.039,0.063,0.092
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_stable_mem92_20260501_002325,HybridMambaDet-B + RetinaNet,4,0.07,0.165,0.044,0.07,0.107
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_stable_mem92_20260501_002325,HybridMambaDet-B + RetinaNet,5,0.07,0.165,0.043,0.069,0.113
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_stable_mem92_20260501_002325,HybridMambaDet-B + RetinaNet,6,0.073,0.173,0.047,0.073,0.115
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_stable_mem92_20260501_002325,HybridMambaDet-B + RetinaNet,7,0.067,0.162,0.041,0.067,0.116
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_stable_mem92_20260501_002325,HybridMambaDet-B + RetinaNet,8,0.081,0.184,0.055,0.079,0.138
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_stable_mem92_20260501_002325,HybridMambaDet-B + RetinaNet,9,0.078,0.185,0.049,0.078,0.114
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_stable_mem92_20260501_002325,HybridMambaDet-B + RetinaNet,10,0.077,0.179,0.049,0.079,0.111
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_stable_mem92_20260501_002325,HybridMambaDet-B + RetinaNet,11,0.081,0.185,0.06,0.08,0.124
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_stable_mem92_20260501_002325,HybridMambaDet-B + RetinaNet,12,0.076,0.168,0.053,0.076,0.106
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_stable_mem92_20260501_002325,HybridMambaDet-B + RetinaNet,13,0.067,0.156,0.04,0.067,0.098
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_stable_mem92_20260501_002325,HybridMambaDet-B + RetinaNet,14,0.084,0.184,0.057,0.082,0.12
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_stable_mem92_20260501_002325,HybridMambaDet-B + RetinaNet,15,0.08,0.184,0.056,0.078,0.13
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_stable_mem92_20260501_002325,HybridMambaDet-B + RetinaNet,16,0.077,0.175,0.051,0.078,0.11
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_fusion05_mem14_20260502_0133,"HybridMambaDet-B + RetinaNet, detail fusion alpha=0.5",1,0.025,0.069,0.013,0.025,0.048
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_fusion05_mem14_20260502_0133,"HybridMambaDet-B + RetinaNet, detail fusion alpha=0.5",2,0.051,0.125,0.03,0.051,0.101
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_fusion05_mem14_20260502_0133,"HybridMambaDet-B + RetinaNet, detail fusion alpha=0.5",3,0.06,0.15,0.034,0.062,0.078
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_fusion05_resume_mem14_20260502_0923,"HybridMambaDet-B + RetinaNet, detail fusion alpha=0.5",4,0.065,0.161,0.036,0.064,0.1
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_fusion05_resume_mem14_20260502_0923,"HybridMambaDet-B + RetinaNet, detail fusion alpha=0.5",5,0.068,0.169,0.039,0.069,0.082
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_fusion05_resume_mem14_20260502_0923,"HybridMambaDet-B + RetinaNet, detail fusion alpha=0.5",6,0.059,0.141,0.04,0.06,0.074
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_fusion05_resume_mem14_20260502_0923,"HybridMambaDet-B + RetinaNet, detail fusion alpha=0.5",7,0.07,0.166,0.044,0.072,0.109
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_fusion05_resume_mem14_20260502_0923,"HybridMambaDet-B + RetinaNet, detail fusion alpha=0.5",8,0.072,0.167,0.05,0.072,0.123
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_fusion05_72e_resume_mem14_repair1_20260502_1840,"HybridMambaDet-B + RetinaNet, detail fusion alpha=0.5",12,0.074,0.169,0.052,0.072,0.156
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_fusion05_72e_resume_mem14_repair1_20260502_1840,"HybridMambaDet-B + RetinaNet, detail fusion alpha=0.5",13,0.071,0.168,0.046,0.071,0.12
C:\Users\sshuser\codex_runs\hybrid-mamba\artifacts\runs\fat_aitodv2_hybridmambadet_fusion05_72e_resume_mem14_repair1_correctresume_cmd_20260503_1605,"HybridMambaDet-B + RetinaNet, detail fusion alpha=0.5",14,0.079,0.178,0.053,0.077,0.142
C:\mamba\artifacts\analysis\aitod_aeris_style_20260504_1736\raw\fat_tinyproto_train.log,"HybridMambaDet-B + RetinaNet, tiny-object protocol",1,0.03,0.087,0.015,0.042,0.053
C:\mamba\artifacts\analysis\aitod_aeris_style_20260504_1736\raw\fat_tinyproto_train.log,"HybridMambaDet-B + RetinaNet, tiny-object protocol",2,0.049,0.139,0.032,0.058,0.049
C:\mamba\artifacts\runs\local_aitodv2_tinyvim_b_72e_sameprotocol_mem8_20260502_2154,TinyViM-B + RetinaNet,1,0.012,0.036,0.004,0.014,0.006
C:\mamba\artifacts\runs\local_aitodv2_tinyvim_b_72e_sameprotocol_mem8_20260502_2154,TinyViM-B + RetinaNet,2,0.04,0.091,0.026,0.044,0.039
C:\mamba\artifacts\runs\local_aitodv2_tinyvim_b_72e_sameprotocol_mem8_20260502_2154,TinyViM-B + RetinaNet,3,0.057,0.146,0.032,0.059,0.106
C:\mamba\artifacts\runs\local_aitodv2_tinyvim_b_72e_sameprotocol_mem8_20260502_2154,TinyViM-B + RetinaNet,4,0.044,0.117,0.023,0.055,0.046
C:\mamba\artifacts\runs\local_aitodv2_tinyvim_b_72e_sameprotocol_mem8_20260502_2154,TinyViM-B + RetinaNet,5,0.087,0.215,0.049,0.085,0.156
C:\mamba\artifacts\runs\local_aitodv2_tinyvim_b_72e_sameprotocol_mem8_20260502_2154,TinyViM-B + RetinaNet,6,0.089,0.224,0.053,0.088,0.143
C:\mamba\artifacts\runs\local_aitodv2_tinyvim_b_72e_sameprotocol_mem8_20260502_2154,TinyViM-B + RetinaNet,7,0.073,0.175,0.046,0.074,0.116
C:\mamba\artifacts\runs\local_aitodv2_tinyvim_b_72e_sameprotocol_mem8_20260502_2154,TinyViM-B + RetinaNet,8,0.067,0.166,0.039,0.068,0.158
C:\mamba\artifacts\runs\local_aitodv2_tinyvim_b_72e_sameprotocol_mem8_20260502_2154,TinyViM-B + RetinaNet,9,0.082,0.203,0.052,0.082,0.142
C:\mamba\artifacts\runs\local_aitodv2_tinyvim_b_72e_sameprotocol_mem8_20260502_2154,TinyViM-B + RetinaNet,10,0.092,0.214,0.062,0.091,0.165
C:\mamba\artifacts\runs\local_aitodv2_tinyvim_b_72e_sameprotocol_mem8_20260502_2154,TinyViM-B + RetinaNet,11,0.098,0.232,0.062,0.095,0.172
C:\mamba\artifacts\runs\local_aitodv2_tinyvim_b_72e_sameprotocol_mem8_20260502_2154,TinyViM-B + RetinaNet,12,0.101,0.252,0.059,0.101,0.182
C:\mamba\artifacts\runs\local_aitodv2_tinyvim_b_72e_sameprotocol_mem8_20260502_2154,TinyViM-B + RetinaNet,13,0.085,0.206,0.056,0.085,0.13
C:\mamba\artifacts\runs\local_aitodv2_tinyvim_b_72e_sameprotocol_mem8_20260502_2154,TinyViM-B + RetinaNet,14,0.089,0.219,0.055,0.09,0.154
C:\mamba\artifacts\runs\local_aitodv2_tinyvim_b_72e_sameprotocol_mem8_20260502_2154,TinyViM-B + RetinaNet,15,0.081,0.181,0.06,0.079,0.165
C:\mamba\artifacts\runs\local_aitodv2_tinyvim_b_72e_sameprotocol_mem8_20260502_2154,TinyViM-B + RetinaNet,16,0.082,0.2,0.054,0.081,0.144
C:\mamba\artifacts\analysis\aitod_aeris_style_20260504_1736\raw\local_tinyvim_b_train.log,TinyViM-B + RetinaNet,17,0.082,0.196,0.053,0.082,0.126
